team,opp_team,gamedate,game_number,offensive_rebounds,off_rebound_chances,oreb_pct
BOS,PHI,2022-10-18,1,10,39,0.2564
PHI,BOS,2022-10-18,1,8,42,0.1905
GSW,LAL,2022-10-18,1,16,57,0.2807
LAL,GSW,2022-10-18,1,14,57,0.2456
ORL,DET,2022-10-19,1,13,47,0.2766
DET,ORL,2022-10-19,1,17,58,0.2931
IND,WAS,2022-10-19,1,18,62,0.2903
WAS,IND,2022-10-19,1,18,51,0.3529
ATL,HOU,2022-10-19,1,6,47,0.1277
HOU,ATL,2022-10-19,1,17,56,0.3036
NOP,BKN,2022-10-19,1,24,56,0.4286
BKN,NOP,2022-10-19,1,12,53,0.2264
CHI,MIA,2022-10-19,1,17,56,0.3036
MIA,CHI,2022-10-19,1,9,46,0.1957
CLE,TOR,2022-10-19,1,8,41,0.1951
TOR,CLE,2022-10-19,1,17,53,0.3208
NYK,MEM,2022-10-19,1,22,68,0.3235
MEM,NYK,2022-10-19,1,28,70,0.4
MIN,OKC,2022-10-19,1,18,60,0.3
OKC,MIN,2022-10-19,1,20,63,0.3175
DAL,PHX,2022-10-19,1,10,46,0.2174
PHX,DAL,2022-10-19,1,12,47,0.2553
POR,SAC,2022-10-19,1,14,53,0.2642
SAC,POR,2022-10-19,1,11,47,0.234
SAS,CHA,2022-10-19,1,18,61,0.2951
CHA,SAS,2022-10-19,1,16,48,0.3333
DEN,UTA,2022-10-19,1,11,44,0.25
UTA,DEN,2022-10-19,1,18,44,0.4091
MIL,PHI,2022-10-20,1,11,52,0.2115
PHI,MIL,2022-10-20,2,6,48,0.125
LAC,LAL,2022-10-20,1,13,46,0.2826
LAL,LAC,2022-10-20,2,13,65,0.2
PHX,POR,2022-10-21,2,15,53,0.283
POR,PHX,2022-10-21,2,15,49,0.3061
DEN,GSW,2022-10-21,2,12,42,0.2857
GSW,DEN,2022-10-21,2,14,48,0.2917
MIN,UTA,2022-10-21,2,25,61,0.4098
UTA,MIN,2022-10-21,2,24,67,0.3582
HOU,MEM,2022-10-21,2,20,56,0.3571
MEM,HOU,2022-10-21,2,22,57,0.386
NYK,DET,2022-10-21,2,14,50,0.28
DET,NYK,2022-10-21,2,18,58,0.3103
BOS,MIA,2022-10-21,2,13,38,0.3421
MIA,BOS,2022-10-21,2,16,51,0.3137
BKN,TOR,2022-10-21,2,13,47,0.2766
TOR,BKN,2022-10-21,2,14,48,0.2917
ATL,ORL,2022-10-21,2,14,49,0.2857
ORL,ATL,2022-10-21,2,11,49,0.2245
CHI,WAS,2022-10-21,2,11,48,0.2292
WAS,CHI,2022-10-21,2,7,39,0.1795
IND,SAS,2022-10-21,2,20,53,0.3774
SAS,IND,2022-10-21,2,9,43,0.2093
NOP,CHA,2022-10-21,2,20,48,0.4167
CHA,NOP,2022-10-21,2,14,53,0.2642
CLE,CHI,2022-10-22,2,13,38,0.3421
CHI,CLE,2022-10-22,3,10,52,0.1923
MIA,TOR,2022-10-22,3,11,40,0.275
TOR,MIA,2022-10-22,3,13,53,0.2453
HOU,MIL,2022-10-22,3,19,61,0.3115
MIL,HOU,2022-10-22,2,10,42,0.2381
DAL,MEM,2022-10-22,2,21,48,0.4375
MEM,DAL,2022-10-22,3,10,49,0.2041
DEN,OKC,2022-10-22,3,14,53,0.2642
OKC,DEN,2022-10-22,2,15,56,0.2679
LAC,SAC,2022-10-22,2,8,42,0.1905
SAC,LAC,2022-10-22,2,10,48,0.2083
BOS,ORL,2022-10-22,3,9,47,0.1915
ORL,BOS,2022-10-22,3,17,53,0.3208
IND,DET,2022-10-22,3,23,62,0.371
DET,IND,2022-10-22,3,23,62,0.371
PHI,SAS,2022-10-22,3,17,49,0.3469
SAS,PHI,2022-10-22,3,17,49,0.3469
LAL,POR,2022-10-23,3,12,53,0.2264
POR,LAL,2022-10-23,3,16,49,0.3265
ATL,CHA,2022-10-23,3,20,60,0.3333
CHA,ATL,2022-10-23,3,17,47,0.3617
CLE,WAS,2022-10-23,3,19,56,0.3393
WAS,CLE,2022-10-23,3,14,49,0.2857
NOP,UTA,2022-10-23,3,21,55,0.3818
UTA,NOP,2022-10-23,3,19,56,0.3393
MIN,OKC,2022-10-23,3,15,47,0.3191
OKC,MIN,2022-10-23,3,15,57,0.2632
GSW,SAC,2022-10-23,3,9,47,0.1915
SAC,GSW,2022-10-23,3,18,53,0.3396
LAC,PHX,2022-10-23,3,10,49,0.2041
PHX,LAC,2022-10-23,3,16,51,0.3137
IND,PHI,2022-10-24,4,21,55,0.3818
PHI,IND,2022-10-24,4,9,44,0.2045
HOU,UTA,2022-10-24,4,23,55,0.4182
UTA,HOU,2022-10-24,4,22,54,0.4074
NYK,ORL,2022-10-24,3,23,54,0.4259
ORL,NYK,2022-10-24,4,15,51,0.2941
BKN,MEM,2022-10-24,3,13,42,0.3095
MEM,BKN,2022-10-24,4,22,51,0.4314
