,nbateamid,team,season,games,off_rtg,def_rtg,net_rtg,W,L
0,1610612737,ATL,2007,82,106.9,108.9,-2.0,37,45
1,1610612751,BKN,2007,82,104.0,109.4,-5.4,34,48
2,1610612738,BOS,2007,82,110.2,98.9,11.3,66,16
3,1610612766,CHA,2007,82,104.6,109.4,-4.8,32,50
4,1610612741,CHI,2007,82,103.9,107.2,-3.3,33,49
5,1610612739,CLE,2007,82,106.0,106.4,-0.4,45,37
6,1610612742,DAL,2007,82,111.1,106.1,5.0,51,31
7,1610612743,DEN,2007,82,110.0,106.3,3.7,50,32
8,1610612765,DET,2007,82,111.4,102.9,8.5,59,23
9,1610612744,GSW,2007,82,111.8,109.5,2.3,48,34
10,1610612745,HOU,2007,82,106.8,101.6,5.2,55,27
11,1610612754,IND,2007,82,106.0,107.5,-1.5,36,46
12,1610612746,LAC,2007,82,101.2,109.1,-7.9,23,59
13,1610612747,LAL,2007,82,113.0,105.5,7.5,57,25
14,1610612763,MEM,2007,82,105.0,111.4,-6.4,22,60
15,1610612748,MIA,2007,82,100.5,110.0,-9.5,15,67
16,1610612749,MIL,2007,82,105.3,112.8,-7.5,26,56
17,1610612750,MIN,2007,82,103.8,111.2,-7.4,22,60
18,1610612740,NOP,2007,82,111.5,105.7,5.8,56,26
19,1610612752,NYK,2007,82,104.7,111.9,-7.2,23,59
20,1610612760,OKC,2007,82,100.5,109.5,-9.0,20,62
21,1610612753,ORL,2007,82,111.3,105.5,5.8,52,30
22,1610612755,PHI,2007,82,106.4,106.0,0.4,40,42
23,1610612756,PHX,2007,82,113.3,108.1,5.2,55,27
24,1610612757,POR,2007,82,107.3,108.4,-1.1,41,41
25,1610612758,SAC,2007,82,107.5,109.9,-2.4,38,44
26,1610612759,SAS,2007,82,107.2,101.8,5.4,56,26
27,1610612761,TOR,2007,82,110.2,107.0,3.2,41,41
28,1610612762,UTA,2007,82,113.8,106.5,7.3,54,28
29,1610612764,WAS,2007,82,109.2,109.6,-0.4,43,39
30,1610612737,ATL,2008,82,109.3,107.6,1.7,47,35
31,1610612751,BKN,2008,82,108.3,111.0,-2.7,34,48
32,1610612738,BOS,2008,82,110.5,102.3,8.2,62,20
33,1610612766,CHA,2008,82,104.7,106.1,-1.4,35,47
34,1610612741,CHI,2008,82,108.4,108.7,-0.3,41,41
35,1610612739,CLE,2008,82,112.4,102.4,10.0,66,16
36,1610612742,DAL,2008,82,110.5,108.4,2.1,50,32
37,1610612743,DEN,2008,82,110.4,106.8,3.6,54,28
38,1610612765,DET,2008,82,107.4,108.0,-0.6,39,43
39,1610612744,GSW,2008,82,109.5,113.3,-3.8,29,53
40,1610612745,HOU,2008,82,108.4,104.0,4.4,53,29
41,1610612754,IND,2008,82,108.1,109.2,-1.1,36,46
42,1610612746,LAC,2008,82,102.3,111.7,-9.4,19,63
43,1610612747,LAL,2008,82,112.8,104.7,8.1,65,17
44,1610612763,MEM,2008,82,103.5,109.5,-6.0,24,58
45,1610612748,MIA,2008,82,107.8,107.6,0.2,43,39
46,1610612749,MIL,2008,82,106.7,107.9,-1.2,34,48
47,1610612750,MIN,2008,82,106.1,111.4,-5.3,24,58
48,1610612740,NOP,2008,82,108.7,107.0,1.7,49,33
49,1610612752,NYK,2008,82,108.1,110.8,-2.7,32,50
50,1610612760,OKC,2008,82,102.9,109.4,-6.5,23,59
51,1610612753,ORL,2008,82,109.2,101.9,7.3,59,23
52,1610612755,PHI,2008,82,107.9,107.8,0.1,41,41
53,1610612756,PHX,2008,82,113.6,111.6,2.0,46,36
54,1610612757,POR,2008,82,113.9,107.8,6.1,54,28
55,1610612758,SAC,2008,82,105.5,114.7,-9.2,17,65
56,1610612759,SAS,2008,82,108.5,104.3,4.2,54,28
57,1610612761,TOR,2008,82,107.0,110.0,-3.0,33,49
58,1610612762,UTA,2008,82,110.1,107.3,2.8,48,34
59,1610612764,WAS,2008,82,105.4,113.6,-8.2,19,63
60,1610612737,ATL,2009,82,111.9,106.7,5.2,53,29
61,1610612751,BKN,2009,82,100.6,110.5,-9.9,12,70
62,1610612738,BOS,2009,82,107.7,103.8,3.9,50,32
63,1610612766,CHA,2009,82,104.4,102.8,1.6,44,38
64,1610612741,CHI,2009,82,103.5,105.3,-1.8,41,41
65,1610612739,CLE,2009,82,111.2,104.1,7.1,61,21
66,1610612742,DAL,2009,82,109.2,106.3,2.9,55,27
67,1610612743,DEN,2009,82,111.8,107.5,4.3,53,29
68,1610612765,DET,2009,82,105.6,111.4,-5.8,27,55
69,1610612744,GSW,2009,82,108.1,111.7,-3.6,26,56
70,1610612745,HOU,2009,82,107.6,108.0,-0.4,42,40
71,1610612754,IND,2009,82,103.7,106.8,-3.1,32,50
72,1610612746,LAC,2009,82,103.3,110.1,-6.8,29,53
73,1610612747,LAL,2009,82,108.8,103.7,5.1,57,25
74,1610612763,MEM,2009,82,108.3,109.9,-1.6,40,42
75,1610612748,MIA,2009,82,106.6,104.1,2.5,47,35
76,1610612749,MIL,2009,82,104.9,103.1,1.8,46,36
77,1610612750,MIN,2009,82,101.7,111.6,-9.9,15,67
78,1610612740,NOP,2009,82,107.4,110.1,-2.7,37,45
79,1610612752,NYK,2009,82,107.6,111.6,-4.0,29,53
