nbateamid,season
1610612737,2007
1610612751,2007
1610612738,2007
1610612766,2007
1610612741,2007
1610612739,2007
1610612742,2007
1610612743,2007
1610612765,2007
1610612744,2007
1610612745,2007
1610612754,2007
1610612746,2007
1610612747,2007
1610612763,2007
1610612748,2007
1610612749,2007
1610612750,2007
1610612740,2007
1610612752,2007
1610612760,2007
1610612753,2007
1610612755,2007
1610612756,2007
1610612757,2007
1610612758,2007
1610612759,2007
1610612761,2007
1610612762,2007
1610612764,2007
1610612737,2008
1610612751,2008
1610612738,2008
1610612766,2008
1610612741,2008
1610612739,2008
1610612742,2008
1610612743,2008
1610612765,2008
1610612744,2008
1610612745,2008
1610612754,2008
1610612746,2008
1610612747,2008
1610612763,2008
1610612748,2008
1610612749,2008
1610612750,2008
1610612740,2008
1610612752,2008
1610612760,2008
1610612753,2008
1610612755,2008
1610612756,2008
1610612757,2008
1610612758,2008
1610612759,2008
1610612761,2008
1610612762,2008
1610612764,2008
1610612737,2009
1610612751,2009
1610612738,2009
1610612766,2009
1610612741,2009
1610612739,2009
1610612742,2009
1610612743,2009
1610612765,2009
1610612744,2009
1610612745,2009
1610612754,2009
1610612746,2009
1610612747,2009
1610612763,2009
1610612748,2009
1610612749,2009
1610612750,2009
1610612740,2009
1610612752,2009
1610612760,2009
1610612753,2009
1610612755,2009
1610612756,2009
1610612757,2009
1610612758,2009
1610612759,2009
1610612761,2009
1610612762,2009
1610612764,2009
1610612737,2010
1610612751,2010
1610612738,2010
1610612766,2010
1610612741,2010
1610612739,2010
1610612742,2010
1610612743,2010
1610612765,2010
1610612744,2010
1610612745,2010
1610612754,2010
1610612746,2010
1610612747,2010
1610612763,2010
1610612748,2010
1610612749,2010
1610612750,2010
1610612740,2010
1610612752,2010
1610612760,2010
1610612753,2010
1610612755,2010
1610612756,2010
1610612757,2010
1610612758,2010
1610612759,2010
1610612761,2010
1610612762,2010
1610612764,2010
1610612737,2011
1610612751,2011
1610612738,2011
1610612766,2011
1610612741,2011
1610612739,2011
1610612742,2011
1610612743,2011
1610612765,2011
1610612744,2011
1610612745,2011
1610612754,2011
1610612746,2011
1610612747,2011
1610612763,2011
1610612748,2011
1610612749,2011
1610612750,2011
1610612740,2011
1610612752,2011
1610612760,2011
1610612753,2011
1610612755,2011
1610612756,2011
1610612757,2011
1610612758,2011
1610612759,2011
1610612761,2011
1610612762,2011
1610612764,2011
1610612737,2012
1610612751,2012
1610612738,2012
1610612766,2012
1610612741,2012
1610612739,2012
1610612742,2012
1610612743,2012
1610612765,2012
1610612744,2012
1610612745,2012
1610612754,2012
1610612746,2012
1610612747,2012
1610612763,2012
1610612748,2012
1610612749,2012
1610612750,2012
1610612740,2012
1610612752,2012
1610612760,2012
1610612753,2012
1610612755,2012
1610612756,2012
1610612757,2012
1610612758,2012
1610612759,2012
1610612761,2012
1610612762,2012
1610612764,2012
1610612737,2013
1610612751,2013
1610612738,2013
1610612766,2013
1610612741,2013
1610612739,2013
1610612742,2013
1610612743,2013
1610612765,2013
1610612744,2013
1610612745,2013
1610612754,2013
1610612746,2013
1610612747,2013
1610612763,2013
1610612748,2013
1610612749,2013
1610612750,2013
1610612740,2013
1610612752,2013
1610612760,2013
1610612753,2013
1610612755,2013
1610612756,2013
1610612757,2013
1610612758,2013
1610612759,2013
1610612761,2013
1610612762,2013
1610612764,2013
1610612737,2014
1610612751,2014
1610612738,2014
1610612766,2014
1610612741,2014
1610612739,2014
1610612742,2014
1610612743,2014
1610612765,2014
1610612744,2014
1610612745,2014
1610612754,2014
1610612746,2014
1610612747,2014
1610612763,2014
1610612748,2014
1610612749,2014
1610612750,2014
1610612740,2014
1610612752,2014
1610612760,2014
1610612753,2014
1610612755,2014
1610612756,2014
1610612757,2014
1610612758,2014
1610612759,2014
1610612761,2014
1610612762,2014
1610612764,2014
1610612737,2015
1610612751,2015
1610612738,2015
1610612766,2015
1610612741,2015
1610612739,2015
1610612742,2015
1610612743,2015
1610612765,2015
1610612744,2015
1610612745,2015
1610612754,2015
1610612746,2015
1610612747,2015
1610612763,2015
1610612748,2015
1610612749,2015
1610612750,2015
1610612740,2015
1610612752,2015
1610612760,2015
1610612753,2015
1610612755,2015
1610612756,2015
1610612757,2015
1610612758,2015
1610612759,2015
1610612761,2015
1610612762,2015
1610612764,2015
1610612737,2016
1610612751,2016
1610612738,2016
1610612766,2016
1610612741,2016
1610612739,2016
1610612742,2016
1610612743,2016
1610612765,2016
1610612744,2016
1610612745,2016
1610612754,2016
1610612746,2016
1610612747,2016
1610612763,2016
1610612748,2016
1610612749,2016
1610612750,2016
1610612740,2016
1610612752,2016
1610612760,2016
1610612753,2016
1610612755,2016
1610612756,2016
1610612757,2016
1610612758,2016
1610612759,2016
1610612761,2016
1610612762,2016
1610612764,2016
1610612737,2017
1610612751,2017
1610612738,2017
1610612766,2017
1610612741,2017
1610612739,2017
1610612742,2017
1610612743,2017
1610612765,2017
1610612744,2017
1610612745,2017
1610612754,2017
1610612746,2017
1610612747,2017
1610612763,2017
1610612748,2017
1610612749,2017
1610612750,2017
1610612740,2017
1610612752,2017
1610612760,2017
1610612753,2017
1610612755,2017
1610612756,2017
1610612757,2017
1610612758,2017
1610612759,2017
1610612761,2017
1610612762,2017
1610612764,2017
1610612737,2018
1610612751,2018
1610612738,2018
1610612766,2018
1610612741,2018
1610612739,2018
1610612742,2018
1610612743,2018
1610612765,2018
1610612744,2018
1610612745,2018
1610612754,2018
1610612746,2018
1610612747,2018
1610612763,2018
1610612748,2018
1610612749,2018
1610612750,2018
1610612740,2018
1610612752,2018
1610612760,2018
1610612753,2018
1610612755,2018
1610612756,2018
1610612757,2018
1610612758,2018
1610612759,2018
1610612761,2018
1610612762,2018
1610612764,2018
1610612737,2019
1610612751,2019
1610612738,2019
1610612766,2019
1610612741,2019
1610612739,2019
1610612742,2019
1610612743,2019
1610612765,2019
1610612744,2019
1610612745,2019
1610612754,2019
1610612746,2019
1610612747,2019
1610612763,2019
1610612748,2019
1610612749,2019
1610612750,2019
1610612740,2019
1610612752,2019
1610612760,2019
1610612753,2019
1610612755,2019
1610612756,2019
1610612757,2019
1610612758,2019
1610612759,2019
1610612761,2019
1610612762,2019
1610612764,2019
1610612737,2020
1610612751,2020
1610612738,2020
1610612766,2020
1610612741,2020
1610612739,2020
1610612742,2020
1610612743,2020
1610612765,2020
1610612744,2020
1610612745,2020
1610612754,2020
1610612746,2020
1610612747,2020
1610612763,2020
1610612748,2020
1610612749,2020
1610612750,2020
1610612740,2020
1610612752,2020
1610612760,2020
1610612753,2020
1610612755,2020
1610612756,2020
1610612757,2020
1610612758,2020
1610612759,2020
1610612761,2020
1610612762,2020
1610612764,2020
1610612737,2021
1610612751,2021
1610612738,2021
1610612766,2021
1610612741,2021
1610612739,2021
1610612742,2021
1610612743,2021
1610612765,2021
1610612744,2021
1610612745,2021
1610612754,2021
1610612746,2021
1610612747,2021
1610612763,2021
1610612748,2021
1610612749,2021
1610612750,2021
1610612740,2021
1610612752,2021
1610612760,2021
1610612753,2021
1610612755,2021
1610612756,2021
1610612757,2021
1610612758,2021
1610612759,2021
1610612761,2021
1610612762,2021
1610612764,2021
,
